source_file,source_sheet,source_row_number,source_category,dataset_from_file,zone_from_file,dataset,method,family,criterion,feature_set_id,num_features,selected_features,feature,selection_frequency,mean_rank,borda_score,rrf_score,cluster,tier,tier_label,zone,path
unsw_candidate_feature_sets.csv,,32,candidate_feature_sets,unsw,,unsw,fisher_lightgbm,hybrid,q75,unsw__fisher_lightgbm__q75__k33,33,sloss;sjit;swin;dpkts;stcpb;ct_state_ttl;ltime;dloss;ct_flw_http_mthd;ct_dst_ltm;ct_ftp_cmd;ct_dst_sport_ltm;sbytes;is_ftp_login;synack;ct_srv_dst;ct_srv_src;res_bdy_len;ct_src_dport_ltm;dload;ct_dst_src_ltm;spkts;proto;state;dur;dbytes;sttl;dttl;service;sload;dwin;dtcpb;smeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,33,candidate_feature_sets,unsw,,unsw,ga,metaheuristic,elbow,unsw__ga__elbow__k12,12,djit;sbytes;dbytes;sloss;state;ct_src_dport_ltm;ltime;ct_srv_dst;ct_dst_ltm;dloss;sjit;dmeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,34,candidate_feature_sets,unsw,,unsw,ga,metaheuristic,q25,unsw__ga__q25__k11,11,djit;sbytes;dbytes;sloss;state;ct_src_dport_ltm;ltime;ct_srv_dst;ct_dst_ltm;dloss;sjit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,35,candidate_feature_sets,unsw,,unsw,ga,metaheuristic,q50,unsw__ga__q50__k22,22,djit;sbytes;dbytes;sloss;state;ct_src_dport_ltm;ltime;ct_srv_dst;ct_dst_ltm;dloss;sjit;dmeansz;sintpkt;sload;dintpkt;ct_flw_http_mthd;sttl;dttl;service;ct_srv_src;dur;stcpb,,,,,,,,,,
unsw_candidate_feature_sets.csv,,36,candidate_feature_sets,unsw,,unsw,ga,metaheuristic,q75,unsw__ga__q75__k33,33,djit;sbytes;dbytes;sloss;state;ct_src_dport_ltm;ltime;ct_srv_dst;ct_dst_ltm;dloss;sjit;dmeansz;sintpkt;sload;dintpkt;ct_flw_http_mthd;sttl;dttl;service;ct_srv_src;dur;stcpb;dwin;synack;proto;stime;trans_depth;res_bdy_len;is_ftp_login;ct_src_ltm;ct_ftp_cmd;ct_state_ttl;dload,,,,,,,,,,
unsw_candidate_feature_sets.csv,,37,candidate_feature_sets,unsw,,unsw,lasso_c0.01,embedded,elbow,unsw__lasso_c0.01__elbow__k9,9,synack;sbytes;dbytes;dload;stcpb;spkts;ct_src_dport_ltm;sintpkt;ct_dst_sport_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,38,candidate_feature_sets,unsw,,unsw,lasso_c0.01,embedded,q25,unsw__lasso_c0.01__q25__k11,11,synack;sbytes;dbytes;dload;stcpb;spkts;ct_src_dport_ltm;sintpkt;ct_dst_sport_ltm;state;ct_srv_dst,,,,,,,,,,
unsw_candidate_feature_sets.csv,,39,candidate_feature_sets,unsw,,unsw,lasso_c0.01,embedded,q50,unsw__lasso_c0.01__q50__k22,22,synack;sbytes;dbytes;dload;stcpb;spkts;ct_src_dport_ltm;sintpkt;ct_dst_sport_ltm;state;ct_srv_dst;tcprtt;ct_state_ttl;ltime;djit;dwin;sloss;dtcpb;sttl;is_sm_ips_ports;ct_flw_http_mthd;trans_depth,,,,,,,,,,
unsw_candidate_feature_sets.csv,,40,candidate_feature_sets,unsw,,unsw,lasso_c0.01,embedded,q75,unsw__lasso_c0.01__q75__k33,33,synack;sbytes;dbytes;dload;stcpb;spkts;ct_src_dport_ltm;sintpkt;ct_dst_sport_ltm;state;ct_srv_dst;tcprtt;ct_state_ttl;ltime;djit;dwin;sloss;dtcpb;sttl;is_sm_ips_ports;ct_flw_http_mthd;trans_depth;ct_src_ltm;dpkts;sjit;res_bdy_len;dmeansz;ackdat;ct_ftp_cmd;ct_dst_ltm;ct_srv_src;ct_dst_src_ltm;is_ftp_login,,,,,,,,,,
unsw_candidate_feature_sets.csv,,41,candidate_feature_sets,unsw,,unsw,lasso_c0.1,embedded,elbow,unsw__lasso_c0.1__elbow__k8,8,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit,,,,,,,,,,
